slug,index,Intervention,Time_after_intervention,releases_count,comments,amounts
master-co,3,1,3,5,3,3
master-co,4,1,4,8,6,6
master-co,5,1,5,0,0,1
master-co,6,1,6,6,0,0
nestdotland,-6,0,0,0,0,0
nestdotland,-5,0,0,0,0,0
nestdotland,-4,0,0,0,0,0
nestdotland,-3,0,0,0,0,0
nestdotland,-2,0,0,0,0,0
nestdotland,-1,0,0,0,0,0
nestdotland,0,1,0,0,8,1
nestdotland,1,1,1,5,24,8
nestdotland,2,1,2,3,8,8
nestdotland,3,1,3,6,17,6
nestdotland,4,1,4,4,25,18
nestdotland,5,1,5,1,12,8
nestdotland,6,1,6,1,1,2
netbootxyz,-6,0,0,1,0,0
netbootxyz,-5,0,0,0,0,0
netbootxyz,-4,0,0,2,0,0
netbootxyz,-3,0,0,1,0,0
netbootxyz,-2,0,0,1,0,0
netbootxyz,-1,0,0,2,0,0
netbootxyz,0,1,0,0,2,1
netbootxyz,1,1,1,1,4,1
netbootxyz,2,1,2,1,3,4
netbootxyz,3,1,3,0,1,1
netbootxyz,4,1,4,1,1,1
netbootxyz,5,1,5,0,3,4
netbootxyz,6,1,6,1,4,3
numpy,-6,0,0,1,0,0
numpy,-5,0,0,3,0,0
numpy,-4,0,0,1,0,0
numpy,-3,0,0,1,0,0
numpy,-2,0,0,2,0,0
numpy,-1,0,0,2,0,0
numpy,0,1,0,1,92,30
numpy,1,1,1,1,0,0
numpy,2,1,2,1,0,0
numpy,3,1,3,1,0,0
numpy,4,1,4,0,0,0
numpy,5,1,5,0,0,0
numpy,6,1,6,0,0,0
oapi-codegen,-6,0,0,0,0,0
oapi-codegen,-5,0,0,0,0,0
oapi-codegen,-4,0,0,0,0,0
oapi-codegen,-3,0,0,0,0,0
oapi-codegen,-2,0,0,1,0,0
oapi-codegen,-1,0,0,2,0,0
oapi-codegen,0,1,0,4,0,5
oapi-codegen,1,1,1,6,2,5
oapi-codegen,2,1,2,5,0,2
oapi-codegen,3,1,3,2,0,2
oapi-codegen,4,1,4,0,2,3
oapi-codegen,5,1,5,3,7,7
oapi-codegen,6,1,6,0,12,9
oatpp,-6,0,0,1,0,0
oatpp,-5,0,0,2,0,0
oatpp,-4,0,0,11,0,0
oatpp,-3,0,0,17,0,0
oatpp,-2,0,0,21,0,0
oatpp,-1,0,0,0,0,0
oatpp,0,1,0,19,0,1
oatpp,1,1,1,20,0,0
oatpp,2,1,2,20,1,1
oatpp,3,1,3,41,0,0
oatpp,4,1,4,0,0,0
oatpp,5,1,5,0,0,0
oatpp,6,1,6,0,0,1
ocrmypdf,-6,0,0,3,0,0
ocrmypdf,-5,0,0,4,0,0
ocrmypdf,-4,0,0,3,0,0
ocrmypdf,-3,0,0,2,0,0
ocrmypdf,-2,0,0,2,0,0
ocrmypdf,-1,0,0,1,0,0
ocrmypdf,0,1,0,1,0,1
ocrmypdf,1,1,1,2,8,3
ocrmypdf,2,1,2,2,4,2
ocrmypdf,3,1,3,1,3,1
ocrmypdf,4,1,4,3,22,4
ocrmypdf,5,1,5,0,3,2
ocrmypdf,6,1,6,1,7,2
openapi-ts,-6,0,0,0,0,0
openapi-ts,-5,0,0,0,0,0
openapi-ts,-4,0,0,0,0,0
openapi-ts,-3,0,0,0,0,0
openapi-ts,-2,0,0,3,0,0
openapi-ts,-1,0,0,5,0,0
openapi-ts,0,1,0,8,26,11
openapi-ts,1,1,1,10,43,19
openapi-ts,2,1,2,1,0,0
openapi-ts,3,1,3,3,0,0
openapi-ts,4,1,4,0,0,0
openapi-ts,5,1,5,0,0,0
openapi-ts,6,1,6,0,0,0
peachpiecompiler,-6,0,0,0,0,0
peachpiecompiler,-5,0,0,0,0,0
peachpiecompiler,-4,0,0,1,0,0
peachpiecompiler,-3,0,0,0,0,0
peachpiecompiler,-2,0,0,2,0,0
peachpiecompiler,-1,0,0,3,0,0
peachpiecompiler,0,1,0,3,5,1
peachpiecompiler,1,1,1,0,7,1
peachpiecompiler,2,1,2,1,0,0
peachpiecompiler,3,1,3,1,2,2
peachpiecompiler,4,1,4,0,0,0
peachpiecompiler,5,1,5,2,3,1
peachpiecompiler,6,1,6,0,0,0
php-soap,-6,0,0,0,0,0
php-soap,-5,0,0,0,0,0
php-soap,-4,0,0,0,0,0
php-soap,-3,0,0,0,0,0
php-soap,-2,0,0,7,0,0
php-soap,-1,0,0,2,0,0
php-soap,0,1,0,11,0,1
php-soap,1,1,1,1,0,0
php-soap,2,1,2,4,0,0
php-soap,3,1,3,0,0,0
php-soap,4,1,4,2,0,0
php-soap,5,1,5,0,0,0
php-soap,6,1,6,0,0,0
pmndrs,-6,0,0,4,0,0
pmndrs,-5,0,0,14,0,0
pmndrs,-4,0,0,5,0,0
pmndrs,-3,0,0,1,0,0
pmndrs,-2,0,0,5,0,0
pmndrs,-1,0,0,4,0,0
pmndrs,0,1,0,16,4,1
pmndrs,1,1,1,5,0,0
pmndrs,2,1,2,7,0,0
pmndrs,3,1,3,7,0,1
pmndrs,4,1,4,7,0,0
pmndrs,5,1,5,14,0,0
pmndrs,6,1,6,23,0,0
prettier,-6,0,0,5,0,0
prettier,-5,0,0,4,0,0
prettier,-4,0,0,6,0,0
prettier,-3,0,0,5,0,0
prettier,-2,0,0,9,0,0
prettier,-1,0,0,6,0,0
prettier,0,1,0,3,28,1
prettier,1,1,1,6,0,0
prettier,2,1,2,4,0,0
prettier,3,1,3,1,0,0
prettier,4,1,4,4,0,0
prettier,5,1,5,0,0,0
prettier,6,1,6,4,0,0
probe-rs,-6,0,0,0,0,0
probe-rs,-5,0,0,0,0,0
probe-rs,-4,0,0,0,0,0
probe-rs,-3,0,0,0,0,0
probe-rs,-2,0,0,0,0,0
probe-rs,-1,0,0,0,0,0
probe-rs,0,1,0,1,0,1
probe-rs,1,1,1,0,0,1
probe-rs,2,1,2,5,0,0
probe-rs,3,1,3,4,0,1
probe-rs,4,1,4,0,0,0
probe-rs,5,1,5,8,3,1
probe-rs,6,1,6,0,3,2
project-error,-6,0,0,0,0,0
project-error,-5,0,0,0,0,0
project-error,-4,0,0,2,0,0
project-error,-3,0,0,1,0,0
project-error,-2,0,0,1,0,0
project-error,-1,0,0,8,0,0
project-error,0,1,0,0,0,1
project-error,1,1,1,2,0,0
project-error,2,1,2,0,0,0
project-error,3,1,3,0,0,3
project-error,4,1,4,2,1,3
project-error,5,1,5,1,0,2
project-error,6,1,6,0,3,5
projectwallace,-6,0,0,1,0,0
projectwallace,-5,0,0,0,0,0
projectwallace,-4,0,0,4,0,0
projectwallace,-3,0,0,0,0,0
projectwallace,-2,0,0,3,0,0
projectwallace,-1,0,0,6,0,0
projectwallace,0,1,0,1,4,2
projectwallace,1,1,1,2,0,0
projectwallace,2,1,2,4,0,2
projectwallace,3,1,3,2,0,0
projectwallace,4,1,4,2,0,0
projectwallace,5,1,5,4,0,0
projectwallace,6,1,6,0,0,0
pyparsing,-6,0,0,1,0,0
pyparsing,-5,0,0,6,0,0
pyparsing,-4,0,0,2,0,0
pyparsing,-3,0,0,0,0,0
pyparsing,-2,0,0,1,0,0
pyparsing,-1,0,0,0,0,0
pyparsing,0,1,0,0,6,2
pyparsing,1,1,1,1,11,1
pyparsing,2,1,2,1,0,1
pyparsing,3,1,3,0,15,4
pyparsing,4,1,4,0,4,2
pyparsing,5,1,5,0,3,1
pyparsing,6,1,6,0,0,0
qruto,-6,0,0,0,0,0
qruto,-5,0,0,0,0,0
qruto,-4,0,0,0,0,0
qruto,-3,0,0,2,0,0
qruto,-2,0,0,1,0,0
qruto,-1,0,0,0,0,0
qruto,0,1,0,3,1,1
qruto,1,1,1,4,0,0
qruto,2,1,2,1,0,0
qruto,3,1,3,0,0,0
qruto,4,1,4,0,0,0
qruto,5,1,5,0,0,0
qruto,6,1,6,2,0,0
react-native-datetimepicker,-6,0,0,1,0,0
react-native-datetimepicker,-5,0,0,1,0,0
react-native-datetimepicker,-4,0,0,1,0,0
react-native-datetimepicker,-3,0,0,2,0,0
react-native-datetimepicker,-2,0,0,2,0,0
react-native-datetimepicker,-1,0,0,2,0,0
react-native-datetimepicker,0,1,0,1,5,2
react-native-datetimepicker,1,1,1,1,13,4
react-native-datetimepicker,2,1,2,1,9,3
react-native-datetimepicker,3,1,3,0,14,3
react-native-datetimepicker,4,1,4,0,0,0
react-native-datetimepicker,5,1,5,0,14,2
react-native-datetimepicker,6,1,6,1,5,3
recharts,-6,0,0,2,0,0
recharts,-5,0,0,3,0,0
recharts,-4,0,0,3,0,0
recharts,-3,0,0,1,0,0
recharts,-2,0,0,0,0,0
recharts,-1,0,0,0,0,0
recharts,0,1,0,1,4,2
recharts,1,1,1,3,20,7
recharts,2,1,2,1,47,6
recharts,3,1,3,3,15,6
recharts,4,1,4,1,60,9
recharts,5,1,5,3,0,0
recharts,6,1,6,1,0,0
redom,-6,0,0,0,0,0
redom,-5,0,0,0,0,0
redom,-4,0,0,0,0,0
redom,-3,0,0,0,0,0
redom,-2,0,0,0,0,0
redom,-1,0,0,0,0,0
redom,0,1,0,5,2,1
redom,1,1,1,1,3,1
redom,2,1,2,4,0,0
redom,3,1,3,1,0,0
redom,4,1,4,0,11,1
redom,5,1,5,0,0,0
redom,6,1,6,0,0,0
rekit,-6,0,0,11,0,0
rekit,-5,0,0,8,0,0
rekit,-4,0,0,0,0,0
rekit,-3,0,0,0,0,0
rekit,-2,0,0,0,0,0
rekit,-1,0,0,0,0,0
rekit,0,1,0,0,0,7
rekit,1,1,1,0,0,0
rekit,2,1,2,2,0,0
rekit,3,1,3,2,0,1
rekit,4,1,4,3,2,4
rekit,5,1,5,1,0,2
rekit,6,1,6,0,3,3
release-plz,-6,0,0,0,0,0
release-plz,-5,0,0,0,0,0
release-plz,-4,0,0,0,0,0
release-plz,-3,0,0,0,0,0
release-plz,-2,0,0,0,0,0
release-plz,-1,0,0,3,0,0
release-plz,0,1,0,4,38,3
release-plz,1,1,1,2,13,12
release-plz,2,1,2,2,16,15
release-plz,3,1,3,9,0,0
release-plz,4,1,4,6,0,0
release-plz,5,1,5,4,0,0
release-plz,6,1,6,0,0,0
rwf2,-6,0,0,0,0,0
rwf2,-5,0,0,0,0,0
rwf2,-4,0,0,0,0,0
rwf2,-3,0,0,0,0,0
rwf2,-2,0,0,0,0,0
rwf2,-1,0,0,0,0,0
rwf2,0,1,0,2,1,1
rwf2,1,1,1,3,0,0
rwf2,2,1,2,2,0,0
rwf2,3,1,3,1,0,0
rwf2,4,1,4,1,0,0
rwf2,5,1,5,1,0,0
rwf2,6,1,6,1,0,0
sapphiredev,-6,0,0,0,0,0
sapphiredev,-5,0,0,0,0,0
sapphiredev,-4,0,0,5,0,0
sapphiredev,-3,0,0,4,0,0
sapphiredev,-2,0,0,0,0,0
sapphiredev,-1,0,0,1,0,0
sapphiredev,0,1,0,1,0,11
sapphiredev,1,1,1,4,0,0
sapphiredev,2,1,2,4,7,2
sapphiredev,3,1,3,0,0,2
sapphiredev,4,1,4,2,0,0
sapphiredev,5,1,5,1,0,0
sapphiredev,6,1,6,3,0,2
scanapi,-6,0,0,0,0,0
scanapi,-5,0,0,2,0,0
scanapi,-4,0,0,1,0,0
scanapi,-3,0,0,0,0,0
scanapi,-2,0,0,0,0,0
scanapi,-1,0,0,1,0,0
scanapi,0,1,0,2,0,1
scanapi,1,1,1,6,7,2
scanapi,2,1,2,1,0,1
scanapi,3,1,3,4,0,1
scanapi,4,1,4,5,0,0
scanapi,5,1,5,2,0,4
scanapi,6,1,6,0,0,0
sched-ext,-6,0,0,0,0,0
sched-ext,-5,0,0,1,0,0
sched-ext,-4,0,0,2,0,0
sched-ext,-3,0,0,2,0,0
sched-ext,-2,0,0,1,0,0
sched-ext,-1,0,0,1,0,0
sched-ext,0,1,0,1,28,3
sched-ext,1,1,1,2,50,12
sched-ext,2,1,2,0,24,15
sched-ext,3,1,3,1,0,0
sched-ext,4,1,4,1,0,0
sched-ext,5,1,5,1,0,0
sched-ext,6,1,6,0,0,0
semantic-release,-6,0,0,0,0,0
semantic-release,-5,0,0,0,0,0
semantic-release,-4,0,0,0,0,0
semantic-release,-3,0,0,5,0,0
semantic-release,-2,0,0,0,0,0
semantic-release,-1,0,0,4,0,0
semantic-release,0,1,0,9,5,1
semantic-release,1,1,1,0,21,1
semantic-release,2,1,2,5,3,1
semantic-release,3,1,3,2,2,2
semantic-release,4,1,4,0,0,1
semantic-release,5,1,5,3,0,0
semantic-release,6,1,6,0,0,0
site-prism,-6,0,0,0,0,0
site-prism,-5,0,0,0,0,0
site-prism,-4,0,0,0,0,0
