"Model","R2m","R2c"
"release_model",0.0456748706054033,0.31538197464282
"commit_model",0.0949630548805993,0.296218030380234
"discussion_model",0.0942307122322135,0.297437400121567
"pull_model",0.0448777026125166,0.127038695727233
