slug,index,Intervention,Time_after_intervention,pulls_count,comments,amounts
fullstackhero,-1,0,0,1,0,0
fullstackhero,0,1,0,0,4,2
fullstackhero,1,1,1,2,0,0
fullstackhero,2,1,2,0,0,0
fullstackhero,3,1,3,1,3,1
fullstackhero,4,1,4,2,2,1
fullstackhero,5,1,5,0,0,1
fullstackhero,6,1,6,3,0,3
gpujs,-6,0,0,1,0,0
gpujs,-5,0,0,2,0,0
gpujs,-4,0,0,1,0,0
gpujs,-3,0,0,1,0,0
gpujs,-2,0,0,3,0,0
gpujs,-1,0,0,2,0,0
gpujs,0,1,0,1,2,3
gpujs,1,1,1,3,0,5
gpujs,2,1,2,2,1,2
gpujs,3,1,3,3,0,2
gpujs,4,1,4,1,12,1
gpujs,5,1,5,1,1,1
gpujs,6,1,6,1,9,1
hoppscotch,-6,0,0,1,0,0
hoppscotch,-5,0,0,1,0,0
hoppscotch,-4,0,0,1,0,0
hoppscotch,-3,0,0,7,0,0
hoppscotch,-2,0,0,3,0,0
hoppscotch,-1,0,0,4,0,0
hoppscotch,0,1,0,3,9,30
hoppscotch,1,1,1,4,0,0
hoppscotch,2,1,2,2,0,0
hoppscotch,3,1,3,9,0,0
hoppscotch,4,1,4,1,0,0
hoppscotch,5,1,5,1,0,0
hoppscotch,6,1,6,1,0,0
kornia,-6,0,0,2,0,0
kornia,-5,0,0,0,0,0
kornia,-4,0,0,2,0,0
kornia,-3,0,0,1,0,0
kornia,-2,0,0,2,0,0
kornia,-1,0,0,0,0,0
kornia,0,1,0,0,2,1
kornia,1,1,1,0,9,6
kornia,2,1,2,0,2,2
kornia,3,1,3,0,8,2
kornia,4,1,4,1,11,7
kornia,5,1,5,0,26,6
kornia,6,1,6,1,5,6
libretime,-6,0,0,0,0,0
libretime,-5,0,0,0,0,0
libretime,-4,0,0,0,0,0
libretime,-3,0,0,0,0,0
libretime,-2,0,0,0,0,0
libretime,-1,0,0,0,0,0
libretime,0,1,0,2,8,2
libretime,1,1,1,3,14,6
libretime,2,1,2,1,8,3
libretime,3,1,3,0,0,0
libretime,4,1,4,1,3,2
libretime,5,1,5,1,3,1
libretime,6,1,6,1,1,3
lobehub,-6,0,0,0,0,0
lobehub,-5,0,0,0,0,0
lobehub,-4,0,0,0,0,0
lobehub,-3,0,0,0,0,0
lobehub,-2,0,0,0,0,0
lobehub,-1,0,0,0,0,0
lobehub,0,1,0,1,0,2
lobehub,1,1,1,1,0,1
lobehub,2,1,2,2,2,9
lobehub,3,1,3,11,8,12
lobehub,4,1,4,2,17,6
lobehub,5,1,5,14,17,19
lobehub,6,1,6,3,20,13
numpy,-6,0,0,0,0,0
numpy,-5,0,0,0,0,0
numpy,-4,0,0,0,0,0
numpy,-3,0,0,0,0,0
numpy,-2,0,0,0,0,0
numpy,-1,0,0,0,0,0
numpy,0,1,0,0,92,30
numpy,1,1,1,0,0,0
numpy,2,1,2,0,0,0
numpy,3,1,3,30,0,0
numpy,4,1,4,0,0,0
numpy,5,1,5,0,0,0
numpy,6,1,6,0,0,0
oapi-codegen,-6,0,0,0,0,0
oapi-codegen,-5,0,0,0,0,0
oapi-codegen,-4,0,0,0,0,0
oapi-codegen,-3,0,0,0,0,0
oapi-codegen,-2,0,0,0,0,0
oapi-codegen,-1,0,0,0,0,0
oapi-codegen,0,1,0,0,0,5
oapi-codegen,1,1,1,1,2,5
oapi-codegen,2,1,2,0,0,2
oapi-codegen,3,1,3,0,0,2
oapi-codegen,4,1,4,2,2,3
oapi-codegen,5,1,5,2,7,7
oapi-codegen,6,1,6,7,12,9
openapi-ts,-6,0,0,0,0,0
openapi-ts,-5,0,0,0,0,0
openapi-ts,-4,0,0,0,0,0
openapi-ts,-3,0,0,0,0,0
openapi-ts,-2,0,0,0,0,0
openapi-ts,-1,0,0,0,0,0
openapi-ts,0,1,0,0,26,11
openapi-ts,1,1,1,0,43,19
openapi-ts,2,1,2,9,0,0
openapi-ts,3,1,3,13,0,0
openapi-ts,4,1,4,8,0,0
openapi-ts,5,1,5,0,0,0
openapi-ts,6,1,6,0,0,0
openstf,-6,0,0,2,0,0
openstf,-5,0,0,0,0,0
openstf,-4,0,0,0,0,0
openstf,-3,0,0,1,0,0
openstf,-2,0,0,0,0,0
openstf,-1,0,0,1,0,0
openstf,0,1,0,2,0,1
openstf,1,1,1,1,5,4
openstf,2,1,2,1,0,1
openstf,3,1,3,1,0,1
openstf,4,1,4,2,9,4
openstf,5,1,5,1,0,1
openstf,6,1,6,0,0,1
orcasound,-6,0,0,0,0,0
orcasound,-5,0,0,0,0,0
orcasound,-4,0,0,0,0,0
orcasound,-3,0,0,0,0,0
orcasound,-2,0,0,0,0,0
orcasound,-1,0,0,0,0,0
orcasound,0,1,0,0,3,2
orcasound,1,1,1,6,76,26
orcasound,2,1,2,0,0,0
orcasound,3,1,3,0,0,0
orcasound,4,1,4,0,0,0
orcasound,5,1,5,0,0,0
orcasound,6,1,6,0,0,0
pmndrs,-6,0,0,2,0,0
pmndrs,-5,0,0,2,0,0
pmndrs,-4,0,0,2,0,0
pmndrs,-3,0,0,0,0,0
pmndrs,-2,0,0,1,0,0
pmndrs,-1,0,0,1,0,0
pmndrs,0,1,0,3,4,1
pmndrs,1,1,1,5,0,0
pmndrs,2,1,2,2,0,0
pmndrs,3,1,3,4,0,1
pmndrs,4,1,4,1,0,0
pmndrs,5,1,5,2,0,0
pmndrs,6,1,6,5,0,0
prettier,-6,0,0,5,0,0
prettier,-5,0,0,3,0,0
prettier,-4,0,0,2,0,0
prettier,-3,0,0,7,0,0
prettier,-2,0,0,8,0,0
prettier,-1,0,0,5,0,0
prettier,0,1,0,2,28,1
prettier,1,1,1,1,0,0
prettier,2,1,2,1,0,0
prettier,3,1,3,3,0,0
prettier,4,1,4,2,0,0
prettier,5,1,5,11,0,0
prettier,6,1,6,6,0,0
project-error,-6,0,0,0,0,0
project-error,-5,0,0,0,0,0
project-error,-4,0,0,0,0,0
project-error,-3,0,0,0,0,0
project-error,-2,0,0,0,0,0
project-error,-1,0,0,0,0,0
project-error,0,1,0,1,0,1
project-error,1,1,1,0,0,0
project-error,2,1,2,0,0,0
project-error,3,1,3,3,0,3
project-error,4,1,4,1,1,3
project-error,5,1,5,1,0,2
project-error,6,1,6,4,3,5
rekit,-6,0,0,0,0,0
rekit,-5,0,0,0,0,0
rekit,-4,0,0,0,0,0
rekit,-3,0,0,0,0,0
rekit,-2,0,0,0,0,0
rekit,-1,0,0,0,0,0
rekit,0,1,0,7,0,7
rekit,1,1,1,0,0,0
rekit,2,1,2,0,0,0
rekit,3,1,3,1,0,1
rekit,4,1,4,2,2,4
rekit,5,1,5,1,0,2
rekit,6,1,6,0,3,3
release-plz,-6,0,0,0,0,0
release-plz,-5,0,0,0,0,0
release-plz,-4,0,0,1,0,0
release-plz,-3,0,0,0,0,0
release-plz,-2,0,0,0,0,0
release-plz,-1,0,0,0,0,0
release-plz,0,1,0,2,38,3
release-plz,1,1,1,0,13,12
release-plz,2,1,2,2,16,15
release-plz,3,1,3,3,0,0
release-plz,4,1,4,0,0,0
release-plz,5,1,5,2,0,0
release-plz,6,1,6,0,0,0
rslint,-6,0,0,0,0,0
rslint,-5,0,0,0,0,0
rslint,-4,0,0,0,0,0
rslint,-3,0,0,1,0,0
rslint,-2,0,0,0,0,0
rslint,-1,0,0,1,0,0
rslint,0,1,0,1,3,2
rslint,1,1,1,1,0,1
rslint,2,1,2,0,0,0
rslint,3,1,3,0,3,2
rslint,4,1,4,1,0,1
rslint,5,1,5,1,0,1
rslint,6,1,6,0,0,0
sched-ext,-6,0,0,0,0,0
sched-ext,-5,0,0,0,0,0
sched-ext,-4,0,0,0,0,0
sched-ext,-3,0,0,0,0,0
sched-ext,-2,0,0,0,0,0
sched-ext,-1,0,0,0,0,0
sched-ext,0,1,0,3,28,3
sched-ext,1,1,1,2,50,12
sched-ext,2,1,2,1,24,15
sched-ext,3,1,3,1,0,0
sched-ext,4,1,4,1,0,0
sched-ext,5,1,5,6,0,0
sched-ext,6,1,6,0,0,0
scikit-image,-6,0,0,0,0,0
scikit-image,-5,0,0,0,0,0
scikit-image,-4,0,0,0,0,0
scikit-image,-3,0,0,0,0,0
scikit-image,-2,0,0,0,0,0
scikit-image,-1,0,0,0,0,0
scikit-image,0,1,0,0,20,8
scikit-image,1,1,1,1,63,22
scikit-image,2,1,2,3,0,0
scikit-image,3,1,3,18,0,0
scikit-image,4,1,4,8,0,0
scikit-image,5,1,5,0,0,0
scikit-image,6,1,6,0,0,0
select2,-6,0,0,1,0,0
select2,-5,0,0,1,0,0
select2,-4,0,0,1,0,0
select2,-3,0,0,1,0,0
select2,-2,0,0,0,0,0
select2,-1,0,0,1,0,0
select2,0,1,0,2,0,1
select2,1,1,1,0,16,2
select2,2,1,2,1,1,3
select2,3,1,3,1,0,1
select2,4,1,4,3,4,4
select2,5,1,5,0,8,3
select2,6,1,6,0,4,4
sirixdb,-6,0,0,0,0,0
sirixdb,-5,0,0,0,0,0
sirixdb,-4,0,0,0,0,0
sirixdb,-3,0,0,0,0,0
sirixdb,-2,0,0,0,0,0
sirixdb,-1,0,0,0,0,0
sirixdb,0,1,0,0,59,12
sirixdb,1,1,1,0,0,0
sirixdb,2,1,2,0,0,0
sirixdb,3,1,3,1,1,1
sirixdb,4,1,4,3,0,3
sirixdb,5,1,5,6,0,6
sirixdb,6,1,6,0,2,2
spaceship-prompt,-6,0,0,0,0,0
spaceship-prompt,-5,0,0,0,0,0
spaceship-prompt,-4,0,0,0,0,0
spaceship-prompt,-3,0,0,1,0,0
spaceship-prompt,-2,0,0,0,0,0
spaceship-prompt,-1,0,0,3,0,0
spaceship-prompt,0,1,0,1,0,1
spaceship-prompt,1,1,1,0,0,0
spaceship-prompt,2,1,2,2,0,1
spaceship-prompt,3,1,3,0,0,0
spaceship-prompt,4,1,4,0,0,0
spaceship-prompt,5,1,5,0,0,0
spaceship-prompt,6,1,6,1,0,1
sympy,-6,0,0,0,0,0
sympy,-5,0,0,0,0,0
sympy,-4,0,0,0,0,0
sympy,-3,0,0,0,0,0
sympy,-2,0,0,0,0,0
sympy,-1,0,0,0,0,0
sympy,0,1,0,0,94,28
sympy,1,1,1,0,1,2
sympy,2,1,2,5,0,0
sympy,3,1,3,25,0,0
sympy,4,1,4,0,0,0
sympy,5,1,5,0,0,0
sympy,6,1,6,0,0,0
unocss,-6,0,0,0,0,0
unocss,-5,0,0,0,0,0
unocss,-4,0,0,2,0,0
unocss,-3,0,0,1,0,0
unocss,-2,0,0,2,0,0
unocss,-1,0,0,3,0,0
unocss,0,1,0,2,4,1
unocss,1,1,1,0,2,2
unocss,2,1,2,0,10,5
unocss,3,1,3,4,35,22
unocss,4,1,4,1,0,0
unocss,5,1,5,2,0,0
unocss,6,1,6,3,0,0
validatorjs,-6,0,0,0,0,0
validatorjs,-5,0,0,0,0,0
validatorjs,-4,0,0,0,0,0
validatorjs,-3,0,0,0,0,0
validatorjs,-2,0,0,0,0,0
validatorjs,-1,0,0,3,0,0
validatorjs,0,1,0,9,3,5
validatorjs,1,1,1,2,15,11
validatorjs,2,1,2,2,2,5
validatorjs,3,1,3,4,7,9
validatorjs,4,1,4,1,0,0
validatorjs,5,1,5,2,0,0
validatorjs,6,1,6,7,0,0
vuejs,-6,0,0,7,0,0
vuejs,-5,0,0,3,0,0
vuejs,-4,0,0,7,0,0
vuejs,-3,0,0,3,0,0
vuejs,-2,0,0,6,0,0
vuejs,-1,0,0,1,0,0
vuejs,0,1,0,12,0,1
vuejs,1,1,1,4,0,1
vuejs,2,1,2,10,0,5
vuejs,3,1,3,1,0,2
vuejs,4,1,4,3,6,6
vuejs,5,1,5,3,4,3
vuejs,6,1,6,1,6,3
vueuse,-6,0,0,0,0,0
vueuse,-5,0,0,0,0,0
vueuse,-4,0,0,0,0,0
vueuse,-3,0,0,0,0,0
vueuse,-2,0,0,0,0,0
vueuse,-1,0,0,0,0,0
vueuse,0,1,0,0,64,30
vueuse,1,1,1,1,0,0
vueuse,2,1,2,9,0,0
vueuse,3,1,3,20,0,0
vueuse,4,1,4,0,0,0
vueuse,5,1,5,0,0,0
vueuse,6,1,6,0,0,0
wexond,-6,0,0,0,0,0
wexond,-5,0,0,1,0,0
wexond,-4,0,0,0,0,0
wexond,-3,0,0,0,0,0
wexond,-2,0,0,0,0,0
wexond,-1,0,0,0,0,0
wexond,0,1,0,4,0,1
wexond,1,1,1,0,0,3
wexond,2,1,2,0,3,6
wexond,3,1,3,0,0,0
wexond,4,1,4,0,1,1
wexond,5,1,5,1,1,2
wexond,6,1,6,3,13,4
writefreely,-6,0,0,0,0,0
writefreely,-5,0,0,0,0,0
writefreely,-4,0,0,0,0,0
writefreely,-3,0,0,1,0,0
writefreely,-2,0,0,0,0,0
writefreely,-1,0,0,1,0,0
writefreely,0,1,0,5,1,9
writefreely,1,1,1,3,6,7
writefreely,2,1,2,3,3,6
writefreely,3,1,3,1,0,8
writefreely,4,1,4,7,0,0
writefreely,5,1,5,1,0,0
writefreely,6,1,6,5,0,0
yamada-ui,-6,0,0,0,0,0
yamada-ui,-5,0,0,0,0,0
yamada-ui,-4,0,0,0,0,0
yamada-ui,-3,0,0,0,0,0
yamada-ui,-2,0,0,0,0,0
yamada-ui,-1,0,0,0,0,0
yamada-ui,0,1,0,2,25,30
yamada-ui,1,1,1,7,0,0
yamada-ui,2,1,2,17,0,0
yamada-ui,3,1,3,4,0,0
yamada-ui,4,1,4,0,0,0
yamada-ui,5,1,5,0,0,0
yamada-ui,6,1,6,0,0,0
zulip,-6,0,0,0,0,0
zulip,-5,0,0,0,0,0
zulip,-4,0,0,0,0,0
zulip,-3,0,0,0,0,0
zulip,-2,0,0,0,0,0
zulip,-1,0,0,0,0,0
zulip,0,1,0,0,65,30
zulip,1,1,1,0,0,0
zulip,2,1,2,0,0,0
zulip,3,1,3,30,0,0
zulip,4,1,4,0,0,0
zulip,5,1,5,0,0,0
zulip,6,1,6,0,0,0
