Slug,Base,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
pytest,2023-02,9,8,10,10,12,9,7,14,5,10,10,14,15
basescript,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
pixi-viewport,2023-04,0,1,3,5,2,2,2,1,2,3,3,4,4
gramaddict,2023-02,0,1,0,0,1,4,0,3,5,2,0,1,3
radareorg,2023-02,1,0,2,7,6,4,2,4,0,0,1,0,0
mcbedrock,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
webdriverio,2023-02,0,2,0,1,0,1,5,1,1,1,2,0,0
glpi-project,2023-08,8,1,4,5,6,7,3,4,9,7,3,8,6
creevey,2023-02,1,1,0,1,1,1,0,1,2,0,0,0,0
dlang,2023-02,1,0,5,0,2,0,1,1,0,0,1,3,0
weblate,2023-02,0,0,0,1,6,0,1,1,0,0,0,1,0
the-dead-bunny-collective,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
zigtools,2023-02,1,1,1,4,2,3,3,4,4,6,2,2,5
gonzo-engineering,2023-08,0,0,0,0,0,0,0,0,0,1,2,3,0
openbeta,2023-02,9,8,3,4,3,6,7,4,9,7,12,5,2
mingyaulee-gh,2023-10,0,0,0,0,0,0,0,0,0,0,0,0,0
sous-chefs,2023-02,0,0,0,0,0,0,3,0,1,0,0,0,0
phalcon,2023-02,0,0,7,0,1,1,2,0,0,0,0,0,1
odiff,2023-03,0,0,0,1,1,0,0,0,0,0,1,0,0
lesspass,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
chucker,2023-03,0,3,2,1,1,3,0,2,2,0,3,1,1
orthanc,2023-02,0,0,0,0,0,0,0,0,0,0,2,1,0
michijs,2023-08,0,0,0,0,0,0,0,0,0,1,3,1,2
pika-backup,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
evershopcommerce,2023-08,0,0,0,0,5,2,3,3,9,3,1,15,2
keyviz,2023-03,1,0,0,1,0,1,1,2,1,1,3,0,1
world-class,2023-03,0,0,0,0,0,0,0,0,0,0,0,0,0
nonebot,2023-02,0,0,0,0,0,0,0,1,1,1,0,1,1
freesk8-os,2023-08,0,0,1,0,0,0,0,0,0,0,0,0,0
ueransim,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
typeddjangoorg,2023-03,4,4,8,0,3,3,5,2,4,10,0,0,11
dyne,2023-08,1,2,0,2,2,0,4,1,3,5,1,4,1
veniqa,2023-08,0,1,0,0,0,0,0,0,0,0,0,0,0
devhub,2023-08,0,1,0,1,1,1,2,1,2,0,1,1,3
code-surfer,2023-04,0,0,0,0,0,0,0,0,0,0,0,0,0
nestia,2023-02,0,0,0,0,2,0,0,0,1,1,5,1,1
ant-design-landing,2023-08,2,0,0,1,2,1,0,0,0,0,1,2,0
twohoursonelife,2023-02,0,0,0,0,0,0,0,0,0,0,1,0,0
pts,2023-08,1,0,0,0,0,0,0,0,0,0,0,1,2
mikado,2023-08,0,0,0,0,0,0,0,0,0,0,0,2,0
ngx-ui-scroll,2023-08,1,0,0,1,1,0,0,0,0,2,0,0,0
localstack,2023-02,4,1,5,2,4,5,1,1,5,6,6,5,6
saasfly,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
decap,2024-02,2,3,1,10,4,8,11,11,7,7,4,1,4
kaetram,2023-10,0,0,0,0,0,0,0,0,0,0,0,0,0
whisparr,2023-09,3,1,2,1,4,3,3,4,1,3,1,6,11
abap-observability-tools,2023-02,0,0,0,2,0,0,0,2,0,6,0,0,0
cassowary,2023-02,7,2,1,1,2,3,3,2,1,0,0,5,1
ugit,2023-08,0,0,0,0,0,0,0,1,0,0,0,0,1
levilamina,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
smartcloudgg,2023-08,0,0,0,1,1,4,1,0,0,0,0,0,0
awesome-image-registration,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
tinyfilemanager,2023-08,8,10,6,2,8,5,10,3,4,3,11,6,6
color-picker,2023-08,0,1,0,0,0,0,0,0,0,0,0,0,0
book-project,2023-08,0,1,0,0,0,0,0,0,0,0,0,0,0
redux-saga,2023-02,0,0,1,0,1,1,0,1,0,3,1,0,0
qldependency,2023-08,0,2,0,0,0,0,0,1,0,1,1,0,1
clap,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
flybyw,2023-08,0,0,0,0,0,0,0,0,0,0,0,0,0
design-tokens,2023-02,4,1,2,2,8,1,0,2,3,1,2,4,3
cspell,2023-02,6,6,1,0,1,1,7,2,2,1,3,1,3
orbitdb,2023-02,1,0,0,0,0,0,0,0,0,1,0,0,0
mapstruct,2023-09,0,0,0,0,0,0,0,0,0,0,0,0,0
flatpak,2023-02,23,28,10,24,12,30,13,22,14,8,20,14,23
centrifugal,2024-01,0,0,0,0,0,0,0,0,0,0,0,0,0
idyll,2023-02,2,0,0,1,2,3,1,0,0,0,0,0,0
dts-bundle-generator,2023-08,0,0,0,0,0,0,0,0,0,0,0,4,0
cryptpad,2023-02,0,0,0,0,0,0,0,0,0,0,0,0,0
serverest,2023-02,0,0,0,0,0,0,1,1,0,0,0,0,0
schrodinger-hat,2023-02,2,0,1,0,0,0,0,0,2,0,0,0,0
