slug,index,Intervention,Time_after_intervention,discussions_count,comments,amounts
lucide-icons,3,1,3,1,0,0
lucide-icons,4,1,4,1,0,0
lucide-icons,5,1,5,3,0,0
lucide-icons,6,1,6,2,0,0
nestdotland,-6,0,0,0,0,0
nestdotland,-5,0,0,0,0,0
nestdotland,-4,0,0,0,0,0
nestdotland,-3,0,0,0,0,0
nestdotland,-2,0,0,0,0,0
nestdotland,-1,0,0,0,0,0
nestdotland,0,1,0,3,8,1
nestdotland,1,1,1,13,24,8
nestdotland,2,1,2,4,8,8
nestdotland,3,1,3,0,17,6
nestdotland,4,1,4,2,25,18
nestdotland,5,1,5,1,12,8
nestdotland,6,1,6,0,1,2
oapi-codegen,-6,0,0,1,0,0
oapi-codegen,-5,0,0,5,0,0
oapi-codegen,-4,0,0,2,0,0
oapi-codegen,-3,0,0,0,0,0
oapi-codegen,-2,0,0,0,0,0
oapi-codegen,-1,0,0,0,0,0
oapi-codegen,0,1,0,0,0,5
oapi-codegen,1,1,1,0,2,5
oapi-codegen,2,1,2,0,0,2
oapi-codegen,3,1,3,0,0,2
oapi-codegen,4,1,4,0,2,3
oapi-codegen,5,1,5,0,7,7
oapi-codegen,6,1,6,0,12,9
ocrmypdf,-6,0,0,4,0,0
ocrmypdf,-5,0,0,2,0,0
ocrmypdf,-4,0,0,1,0,0
ocrmypdf,-3,0,0,4,0,0
ocrmypdf,-2,0,0,3,0,0
ocrmypdf,-1,0,0,4,0,0
ocrmypdf,0,1,0,5,0,1
ocrmypdf,1,1,1,4,8,3
ocrmypdf,2,1,2,2,4,2
ocrmypdf,3,1,3,0,3,1
ocrmypdf,4,1,4,0,22,4
ocrmypdf,5,1,5,0,3,2
ocrmypdf,6,1,6,0,7,2
pmd,-6,0,0,0,0,0
pmd,-5,0,0,0,0,0
pmd,-4,0,0,2,0,0
pmd,-3,0,0,0,0,0
pmd,-2,0,0,1,0,0
pmd,-1,0,0,1,0,0
pmd,0,1,0,0,2,1
pmd,1,1,1,1,0,0
pmd,2,1,2,0,0,0
pmd,3,1,3,1,0,1
pmd,4,1,4,1,0,0
pmd,5,1,5,1,0,0
pmd,6,1,6,2,7,1
pmndrs,-6,0,0,1,0,0
pmndrs,-5,0,0,1,0,0
pmndrs,-4,0,0,4,0,0
pmndrs,-3,0,0,0,0,0
pmndrs,-2,0,0,1,0,0
pmndrs,-1,0,0,1,0,0
pmndrs,0,1,0,1,4,1
pmndrs,1,1,1,1,0,0
pmndrs,2,1,2,0,0,0
pmndrs,3,1,3,2,0,1
pmndrs,4,1,4,2,0,0
pmndrs,5,1,5,1,0,0
pmndrs,6,1,6,0,0,0
poolifier,-6,0,0,0,0,0
poolifier,-5,0,0,1,0,0
poolifier,-4,0,0,0,0,0
poolifier,-3,0,0,8,0,0
poolifier,-2,0,0,0,0,0
poolifier,-1,0,0,0,0,0
poolifier,0,1,0,0,0,3
poolifier,1,1,1,0,0,0
poolifier,2,1,2,0,0,0
poolifier,3,1,3,0,0,0
poolifier,4,1,4,0,0,0
poolifier,5,1,5,0,0,0
poolifier,6,1,6,0,0,0
prettier,-6,0,0,0,0,0
prettier,-5,0,0,0,0,0
prettier,-4,0,0,0,0,0
prettier,-3,0,0,2,0,0
prettier,-2,0,0,3,0,0
prettier,-1,0,0,0,0,0
prettier,0,1,0,3,28,1
prettier,1,1,1,2,0,0
prettier,2,1,2,4,0,0
prettier,3,1,3,7,0,0
prettier,4,1,4,6,0,0
prettier,5,1,5,4,0,0
prettier,6,1,6,3,0,0
pufferpanel,-6,0,0,2,0,0
pufferpanel,-5,0,0,0,0,0
pufferpanel,-4,0,0,1,0,0
pufferpanel,-3,0,0,2,0,0
pufferpanel,-2,0,0,2,0,0
pufferpanel,-1,0,0,1,0,0
pufferpanel,0,1,0,1,0,1
pufferpanel,1,1,1,0,8,3
pufferpanel,2,1,2,0,5,1
pufferpanel,3,1,3,0,1,1
pufferpanel,4,1,4,0,4,2
pufferpanel,5,1,5,0,0,0
pufferpanel,6,1,6,0,0,0
pyparsing,-6,0,0,1,0,0
pyparsing,-5,0,0,4,0,0
pyparsing,-4,0,0,2,0,0
pyparsing,-3,0,0,0,0,0
pyparsing,-2,0,0,1,0,0
pyparsing,-1,0,0,0,0,0
pyparsing,0,1,0,0,6,2
pyparsing,1,1,1,3,11,1
pyparsing,2,1,2,2,0,1
pyparsing,3,1,3,0,15,4
pyparsing,4,1,4,1,4,2
pyparsing,5,1,5,1,3,1
pyparsing,6,1,6,0,0,0
qruto,-6,0,0,0,0,0
qruto,-5,0,0,0,0,0
qruto,-4,0,0,0,0,0
qruto,-3,0,0,1,0,0
qruto,-2,0,0,1,0,0
qruto,-1,0,0,4,0,0
qruto,0,1,0,2,1,1
qruto,1,1,1,1,0,0
qruto,2,1,2,3,0,0
qruto,3,1,3,0,0,0
qruto,4,1,4,2,0,0
qruto,5,1,5,3,0,0
qruto,6,1,6,3,0,0
release-plz,-6,0,0,3,0,0
release-plz,-5,0,0,1,0,0
release-plz,-4,0,0,2,0,0
release-plz,-3,0,0,0,0,0
release-plz,-2,0,0,1,0,0
release-plz,-1,0,0,0,0,0
release-plz,0,1,0,1,38,3
release-plz,1,1,1,2,13,12
release-plz,2,1,2,1,16,15
release-plz,3,1,3,0,0,0
release-plz,4,1,4,0,0,0
release-plz,5,1,5,2,0,0
release-plz,6,1,6,0,0,0
schemathesis,-6,0,0,1,0,0
schemathesis,-5,0,0,1,0,0
schemathesis,-4,0,0,1,0,0
schemathesis,-3,0,0,1,0,0
schemathesis,-2,0,0,0,0,0
schemathesis,-1,0,0,2,0,0
schemathesis,0,1,0,1,10,2
schemathesis,1,1,1,4,6,2
schemathesis,2,1,2,2,0,0
schemathesis,3,1,3,0,0,0
schemathesis,4,1,4,1,0,0
schemathesis,5,1,5,0,1,1
schemathesis,6,1,6,1,0,0
sepheocoop,-6,0,0,0,0,0
sepheocoop,-5,0,0,0,0,0
sepheocoop,-4,0,0,0,0,0
sepheocoop,-3,0,0,0,0,0
sepheocoop,-2,0,0,2,0,0
sepheocoop,-1,0,0,1,0,0
sepheocoop,0,1,0,2,0,2
sepheocoop,1,1,1,7,0,0
sepheocoop,2,1,2,2,0,0
sepheocoop,3,1,3,1,0,0
sepheocoop,4,1,4,3,0,0
sepheocoop,5,1,5,3,0,0
sepheocoop,6,1,6,0,0,0
skia4delphi,-6,0,0,0,0,0
skia4delphi,-5,0,0,0,0,0
skia4delphi,-4,0,0,1,0,0
skia4delphi,-3,0,0,1,0,0
skia4delphi,-2,0,0,0,0,0
skia4delphi,-1,0,0,2,0,0
skia4delphi,0,1,0,9,0,1
skia4delphi,1,1,1,1,0,0
skia4delphi,2,1,2,0,0,1
skia4delphi,3,1,3,0,0,0
skia4delphi,4,1,4,0,0,0
skia4delphi,5,1,5,3,0,1
skia4delphi,6,1,6,1,0,0
sorry-cypress,-6,0,0,0,0,0
sorry-cypress,-5,0,0,0,0,0
sorry-cypress,-4,0,0,6,0,0
sorry-cypress,-3,0,0,1,0,0
sorry-cypress,-2,0,0,0,0,0
sorry-cypress,-1,0,0,0,0,0
sorry-cypress,0,1,0,0,0,1
sorry-cypress,1,1,1,0,0,0
sorry-cypress,2,1,2,3,0,0
sorry-cypress,3,1,3,0,0,0
sorry-cypress,4,1,4,0,0,0
sorry-cypress,5,1,5,0,0,2
sorry-cypress,6,1,6,0,2,1
vuepress-theme-hope,-6,0,0,0,0,0
vuepress-theme-hope,-5,0,0,0,0,0
vuepress-theme-hope,-4,0,0,0,0,0
vuepress-theme-hope,-3,0,0,0,0,0
vuepress-theme-hope,-2,0,0,0,0,0
vuepress-theme-hope,-1,0,0,0,0,0
vuepress-theme-hope,0,1,0,30,0,1
vuepress-theme-hope,1,1,1,0,0,0
vuepress-theme-hope,2,1,2,0,1,5
vuepress-theme-hope,3,1,3,0,3,2
vuepress-theme-hope,4,1,4,0,0,0
vuepress-theme-hope,5,1,5,0,6,2
vuepress-theme-hope,6,1,6,0,2,1
